Nominal Pipe Size	Outside Diameter	Schedule 5	Schedule 10	Schedule 20	Schedule 30	Schedule 40	Schedule Std	Schedule 60	Schedule 80	Schedule XS	Schedule 100	Schedule 120	Schedule 140	Schedule 160	Schedule XXS
3.170	10.300					1.730	1.730		2.410	2.410					
6.350	13.700	1.200	1.720			2.240	2.240		3.020	3.020					
9.520	17.100	1.200	1.720			2.310	2.310		3.200	3.200					
12.700	21.300	1.720	2.110			2.770	2.770		3.730	3.730				4.780	7.470
19.100	26.700	1.720	2.110			2.870	2.870		3.910	3.910				5.540	7.820
25.400	33.400	1.720	2.770			3.380	3.380		4.550	4.550				6.350	9.090
31.800	42.200	1.720	2.770			3.560	3.560		4.850	4.850				6.350	9.700
38.100	48.300	1.720	2.770			3.680	3.680		5.080	5.080				7.100	10.160
50.800	60.300	1.720	2.770			3.910	3.910		5.540	5.540				8.740	11.070
63.500	73.000	2.110	3.040			5.160	5.160		7.010	7.010				9.520	14.020
76.100	88.900	2.110	3.040			5.490	5.490		7.620	7.620				11.130	15.240
88.900	101.600	2.110	3.040			5.700	5.700		8.100	8.100					15.910
101.600	114.300	2.110	3.040			6.020	6.020	7.100	8.560	8.560		11.130		13.490	17.120
127.000	141.300	2.770	3.380			6.550	6.550		9.520	9.520		12.700		15.880	19.100
152.400	168.300	2.770	3.380			7.110	7.110		10.970	10.970		14.280		18.260	21.950
203.200	219.100	2.770	3.730	6.350	7.040	8.180	8.180	10.310	12.700	12.700	15.080	18.260	20.630	23.000	22.220
254.000	273.000	3.380	4.080	6.350	7.800	9.270	9.270	12.700	15.080	12.700	18.260	21.430	25.400	28.580	25.400
304.800	323.900	3.960	4.550	6.350	8.380	10.310	9.520	14.280	17.480	12.700	21.430	25.400	28.580	32.000	25.400
355.600	355.600		6.350	8.000	9.520	11.070	9.520	15.080	19.100	12.700	23.800	27.000	31.750	35.710	
406.400	406.400		6.350	8.000	9.520	12.700	9.520	16.660	21.400	12.700	26.190	30.950	36.510	40.480	
457.200	457.200		6.350	8.000	11.070	14.280	9.520	19.100	23.800	12.700	29.300	34.920	39.600	45.240	
508.000	508.000		6.350	9.520	12.700	15.080	9.520	20.620	26.190	12.700	32.510	38.100	44.500	50.000	
609.600	609.600		6.350	9.520	14.280	17.480	9.520	24.600	30.950	12.700	38.890	46.030	52.380	59.530	
762.000	762.000	6.350	8.000	12.700	15.880		9.520			12.700					
914.400	914.400		8.000	12.700	15.880	19.100	9.520			12.700					
